,coordinates,address
74,"39.36143472,-84.3657349","7750 Discovery Dr, West Chester Township, OH 45069, USA"
75,"45.21510394,-93.37965731","3301 N 7th Ave, Anoka, MN 55303, USA"
76,"44.7964315,-91.5210137","2116 Craig Rd, Eau Claire, WI 54701, USA"
77,"39.44066438,-91.06478066","2305 Georgia St, Louisiana, MO 63353, USA"
78,"40.56673723,-112.2972601","2055 N Main St, Tooele, UT 84074, USA"
79,"32.6620118,-97.41279008","6701 Oakmont Blvd, Fort Worth, TX 76132, USA"
80,"38.76731361,-77.48752622","8700 Sudley Rd, Manassas, VA 20110, USA"
81,"30.00839095,-97.85628014","5980 Kyle Pkwy, Kyle, TX 78640, USA"
82,"30.27638988,-97.73384773","1500 Red River St, Austin, TX 78701, USA"
83,"36.10007945,-119.5639527","1310 Hanna Ave, Corcoran, CA 93212, USA"
84,"40.80995371,-81.37244027","1223 Market Ave N, Canton, OH 44714, USA"
85,"47.12121882,-118.3718866","903 S Adams St, Ritzville, WA 99169, USA"
86,"35.62068597,-85.19086883","136 Wheelertown Ave, Pikeville, TN 37367, USA"
87,"38.38967893,-93.768801","1600 N 2nd St, Clinton, MO 64735, USA"
88,"38.62172491,-90.23910389","1465 S Grand Blvd, St. Louis, MO 63104, USA"
89,"38.62414869,-90.23846797","3632 Hickory St, St. Louis, MO 63110, USA"
90,"32.50074986,-94.72985399","700 E Marshall Ave, Longview, TX 75601, USA"
91,"38.14244393,-79.02740691","103 Valley Center Dr, Staunton, VA 24401, USA"
92,"40.70947028,-74.21192764","165-171 Lyons Ave, Newark, NJ 07112, USA"
93,"45.50646122,-91.75912821","1700 W Stout St, Rice Lake, WI 54868, USA"
94,"37.60026659,-120.962973","1904 Richland Ave, Ceres, CA 95307, USA"
95,"46.79710125,-92.08739077","915 E 1st St, Duluth, MN 55805, USA"
96,"35.82517217,-84.27018079","550 Fort Loudoun Medical Center Dr First Floor, Lenoir City, TN 37772, USA"
97,"31.35595,-92.437722","2495 Shreveport Hwy, Pineville, LA 71360, USA"
98,"45.03065572,-99.13263837","1401 Pearl St, Faulkton, SD 57438, USA"
99,"39.04114927,-80.49630427","936 Sharpe Hospital Rd, Weston, WV 26452, USA"
